folder_name,description,data_attributes,text_attribute,model_names,k,run_id,accuracy,f1_score,con_accuracy,con_f1_score,num_nodes,max_depth,ccp_alpha,avg_path_length
bpi_2012_enriched_filtered_A,baseline,,text,,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,baseline,,text,,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,baseline,,text,,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,,8,0,0.7677215729762006,0.730326403109059,0.8734112428559242,0.8373937624448645,33,10,2.4948467645463673e-05,4.072336432653757
bpi_2012_enriched_filtered_A,distilled,,text,,8,0,0.7676362705792033,0.7302759922590436,0.8734112428559242,0.8373534153407723,33,10,0.0001375843399383514,4.34675424379425
bpi_2012_enriched_filtered_A,baseline,,text,BoW,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoW,8,0,0.7736927407660156,0.7307935568991056,0.888936279109443,0.8562720785220458,55,11,1.054222327139895e-05,5.006227074980807
bpi_2012_enriched_filtered_A,distilled,,text,BoW,8,0,0.7939947112513862,0.79011547136455,0.9281753817282266,0.9278143739181234,283,24,0.00011698855132231559,6.0854730017913505
bpi_2012_enriched_filtered_A,baseline,,text,BoNG,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoNG,8,0,0.7800904205408172,0.7653623921257745,0.9029258722170093,0.8945709673717992,53,12,1.0596483121131335e-05,5.005288748613836
bpi_2012_enriched_filtered_A,distilled,,text,BoNG,8,0,0.7916062441354602,0.79071516239198,0.9190480252495095,0.9193665263955471,115,14,0.00017119872736414432,6.305126674059541
bpi_2012_enriched_filtered_A,baseline,,text,LDA,8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,LDA,8,0,0.7720719952230658,0.7297410689454719,0.883903437686599,0.8512377706161925,53,11,1.0767096483898792e-05,5.101253945235861
bpi_2012_enriched_filtered_A,distilled,,text,LDA,8,0,0.7672950609912138,0.746465380894656,0.8674400750661093,0.853082850536462,79,12,0.00034443421026950083,5.614774375159942
bpi_2012_enriched_filtered_A,baseline,,text,"BoW,BoNG,LDA",8,0,0.7895589866075237,0.7867792141710441,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,"BoW,BoNG,LDA",8,0,0.7736927407660156,0.7307935568991056,0.888936279109443,0.8562720785220458,55,11,1.0542223271399045e-05,5.006227074980807
bpi_2012_enriched_filtered_A,distilled,,text,"BoW,BoNG,LDA",8,0,0.7918621513264523,0.7881439369767501,0.9207540731894567,0.9202426087910951,451,25,0.00011201378417127712,6.43580994625949
bpi_2012_enriched_filtered_A,baseline,,text,,8,1,0.789388381813529,0.793034369004582,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,,8,1,0.776934231851915,0.7407794979316542,0.8398020984389661,0.7977822087996986,39,13,3.4410822100691786e-05,4.165145440586881
bpi_2012_enriched_filtered_A,distilled,,text,,8,1,0.7478461144758167,0.7199555064392645,0.8753731979868634,0.8368850326227889,29,10,0.0001798674382041199,3.87869999146976
bpi_2012_enriched_filtered_A,baseline,,text,BoW,8,1,0.789388381813529,0.793034369004582,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoW,8,1,0.797321504734283,0.8008223058114037,0.9239102618783588,0.9234312127033507,89,15,1.0003964602014569e-05,5.168984048451762
bpi_2012_enriched_filtered_A,distilled,,text,BoW,8,1,0.7967243879553015,0.8012829507278878,0.9304785464471552,0.9295093041554291,145,14,0.00015986835388485878,5.5595837243026525
bpi_2012_enriched_filtered_A,baseline,,text,BoNG,8,1,0.789388381813529,0.793034369004582,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoNG,8,1,0.7622622195683699,0.7575154694294765,0.8917512582103557,0.8778701941308975,59,14,1.725760900236472e-05,4.759959054849442
bpi_2012_enriched_filtered_A,distilled,,text,BoNG,8,1,0.781967073274759,0.7849485283687135,0.9111149023287555,0.9095270849406625,71,15,0.0003585531285855842,5.479314168728141
bpi_2012_enriched_filtered_A,baseline,,text,LDA,8,1,0.789388381813529,0.793034369004582,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,LDA,8,1,0.7638829651113196,0.7651935421617334,0.8972106116181865,0.8912795014505802,85,16,1.0056660890703695e-05,5.257783843726009
bpi_2012_enriched_filtered_A,distilled,,text,LDA,8,1,0.7576558901305127,0.7487423009030878,0.8202678495265717,0.8143737628041895,159,15,0.0001790746876973127,5.633455600102363
bpi_2012_enriched_filtered_A,baseline,,text,"BoW,BoNG,LDA",8,1,0.789388381813529,0.793034369004582,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,"BoW,BoNG,LDA",8,1,0.7964684807643094,0.7995185696283915,0.9245926810543377,0.9240970192702023,89,15,1.0553094003573126e-05,5.165060138189883
bpi_2012_enriched_filtered_A,distilled,,text,"BoW,BoNG,LDA",8,1,0.7942506184423782,0.7988732671572096,0.9218630043504222,0.9211760399949762,255,17,0.00013229696056687987,5.823679945406466
bpi_2012_enriched_filtered_A,baseline,,text,,8,2,0.785549773948648,0.7846233958463295,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,,8,2,0.7667832466092297,0.7310755526976537,0.853194574767551,0.8163725526215467,31,11,6.0733239220322035e-05,3.9454064659216925
bpi_2012_enriched_filtered_A,distilled,,text,,8,2,0.7666979442122324,0.725343021734796,0.8666723534931332,0.8235291569617745,31,10,0.00013813828519351756,4.029002814979101
bpi_2012_enriched_filtered_A,baseline,,text,BoW,8,2,0.785549773948648,0.7846233958463295,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoW,8,2,0.772839716796042,0.7344736190624019,0.8717051949159771,0.838656176357043,59,14,1.3112135554187984e-05,5.044613153629617
bpi_2012_enriched_filtered_A,distilled,,text,BoW,8,2,0.7940800136483835,0.7921737881714599,0.9238249594813615,0.9233837678975193,175,17,0.0001582781300468307,5.672694702721146
bpi_2012_enriched_filtered_A,baseline,,text,BoNG,8,2,0.785549773948648,0.7846233958463295,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,BoNG,8,2,0.7786402797918621,0.7674994498467058,0.8845858568625778,0.8753647307416684,51,12,1.1863588368017858e-05,4.8769086411328155
bpi_2012_enriched_filtered_A,distilled,,text,BoNG,8,2,0.7883647530495607,0.789652244489048,0.9115414143137422,0.9115869233080736,141,18,0.00014769076297320395,6.3548579715089994
bpi_2012_enriched_filtered_A,baseline,,text,LDA,8,2,0.785549773948648,0.7846233958463295,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,LDA,8,2,0.7712189712530922,0.7333361616039907,0.8668429582871279,0.8340236949519663,59,14,1.0234992755854056e-05,5.196024908299923
bpi_2012_enriched_filtered_A,distilled,,text,LDA,8,2,0.7647359890812931,0.7408441830041518,0.8609570928943103,0.8433555532994815,143,17,0.00016617419401433742,5.7941653160453805
bpi_2012_enriched_filtered_A,baseline,,text,"BoW,BoNG,LDA",8,2,0.785549773948648,0.7846233958463295,1.0,1.0,0,0,0.0,0.0
bpi_2012_enriched_filtered_A,soft,,text,"BoW,BoNG,LDA",8,2,0.772839716796042,0.7344606178250408,0.8715345901219824,0.8384769811731888,59,15,1.3845133049058479e-05,4.987887059626376
bpi_2012_enriched_filtered_A,distilled,,text,"BoW,BoNG,LDA",8,2,0.7911797321504734,0.7864623056769859,0.9193892348374989,0.9179813432647664,73,12,0.00034088849159562284,5.069777360743837
werk,baseline,"age,gender",question,,10,0,0.4258129155660807,0.2966611706553282,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,,10,0,0.41843519446215505,0.2658414122154093,0.9131979233081338,0.8804533574250203,37,8,1.0004980459327663e-05,4.9037252937426
werk,distilled,"age,gender",question,,10,0,0.4118772201475544,0.26517308245192434,0.9261317059841515,0.9022067668726674,145,21,9.801383977252418e-05,11.05492303488478
werk,baseline,"age,gender",question,BoW,10,0,0.4258129155660807,0.2966611706553282,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoW,10,0,0.42608616449585573,0.28897031524019673,0.9499954458511705,0.9430701883790744,41,9,1.03642718575761e-05,5.131979233081337
werk,distilled,"age,gender",question,BoW,10,0,0.42535750068312234,0.296677092077466,0.9918025321067493,0.9917716818425275,309,36,5.5229362281080605e-05,18.3829128335914
werk,baseline,"age,gender",question,BoNG,10,0,0.4258129155660807,0.2966611706553282,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoNG,10,0,0.4258129155660807,0.2933197711707271,0.9625648966208216,0.9598858862464101,43,10,1.045025710569912e-05,5.702158666545222
werk,distilled,"age,gender",question,BoNG,10,0,0.42553966663630566,0.29621745596582455,0.9870662173239821,0.9868591282105994,235,28,5.425302011372122e-05,15.758447946078878
werk,baseline,"age,gender",question,LDA,10,0,0.4258129155660807,0.2966611706553282,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,LDA,10,0,0.4157027051644048,0.26554250179842837,0.9104654340103835,0.8778571584973587,37,6,1.2063512600888036e-05,5.0037344020402585
werk,distilled,"age,gender",question,LDA,10,0,0.4127880499134712,0.26990131326977584,0.9079151106658165,0.8859942679156929,239,16,5.3185831294543144e-05,10.230531013753529
werk,baseline,"age,gender",question,"BoW,BoNG,LDA",10,0,0.4258129155660807,0.2966611706553282,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,"BoW,BoNG,LDA",10,0,0.4156116221878131,0.2654991045951629,0.9103743510337918,0.8777763658021576,37,6,1.2063512600888046e-05,5.0037344020402585
werk,distilled,"age,gender",question,"BoW,BoNG,LDA",10,0,0.4155205392112214,0.27532295470964213,0.924583295382093,0.9087445092818374,209,19,6.506102936060799e-05,12.418344111485563
werk,baseline,"age,gender",question,,10,1,0.4236269241278805,0.32794379979841665,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,,10,1,0.42007468804080517,0.26070914632731057,0.7977957919664814,0.7145229996120961,33,7,1.3156107515205785e-05,4.510337917843155
werk,distilled,"age,gender",question,,10,1,0.4091447308498042,0.30062932193741976,0.8793150560160305,0.8501382018255078,99,17,0.00013237101500151657,9.081974678932507
werk,baseline,"age,gender",question,BoW,10,1,0.4236269241278805,0.32794379979841665,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoW,10,1,0.4263594134256308,0.28936213635440305,0.8574551416340286,0.8075214192930875,49,9,1.0412310377636857e-05,5.723198834137899
werk,distilled,"age,gender",question,BoW,10,1,0.42444667091720556,0.32853584604254066,0.9737681027415976,0.9736187079225401,253,30,0.00012488812403452622,13.01029237635486
werk,baseline,"age,gender",question,BoNG,10,1,0.4236269241278805,0.32794379979841665,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoNG,10,1,0.41725111576646323,0.32321352085429417,0.9099189361508334,0.9072627156021541,51,11,1.0786065080961888e-05,6.041624920302396
werk,distilled,"age,gender",question,BoNG,10,1,0.42353584115128884,0.32928394843604797,0.9505419437107204,0.9501776678094639,243,32,0.0001004914899366458,13.705346570725931
werk,baseline,"age,gender",question,LDA,10,1,0.4236269241278805,0.32794379979841665,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,LDA,10,1,0.41624920302395485,0.26745384118006843,0.8081792512979324,0.732264335859077,43,8,1.033275593296975e-05,5.426905911285181
werk,distilled,"age,gender",question,LDA,10,1,0.4046816649968121,0.2964566886904867,0.8398761271518353,0.8209843180806541,703,22,3.767329716696805e-05,11.792512979324165
werk,baseline,"age,gender",question,"BoW,BoNG,LDA",10,1,0.4236269241278805,0.32794379979841665,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,"BoW,BoNG,LDA",10,1,0.4265415793788141,0.2911181948308532,0.8510793332726113,0.8003237660888944,45,7,1.187251062011885e-05,5.721741506512433
werk,distilled,"age,gender",question,"BoW,BoNG,LDA",10,1,0.41816194553238,0.32011366023382104,0.9288641952819018,0.926702377998635,715,37,2.8013477380565997e-05,17.223335458602786
werk,baseline,"age,gender",question,,10,2,0.41825302850897167,0.3315158019346563,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,,10,2,0.4170689498132799,0.2640371269134908,0.7845887603606886,0.6988281076172066,35,8,1.0405077117022769e-05,4.315238181983787
werk,distilled,"age,gender",question,,10,2,0.4022224246288369,0.300845078506948,0.9278622825393934,0.9066199346381134,81,12,0.00016571159767362308,6.689224883869205
werk,baseline,"age,gender",question,BoW,10,2,0.41825302850897167,0.3315158019346563,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoW,10,2,0.41725111576646323,0.32362011811697206,0.9558247563530377,0.9521898307615606,41,10,1.0634091551942612e-05,5.092631387193734
werk,distilled,"age,gender",question,BoW,10,2,0.4170689498132799,0.3304806861014617,0.991893615083341,0.9919018846887461,215,20,7.470310633884812e-05,10.628472538482558
werk,baseline,"age,gender",question,BoNG,10,2,0.41825302850897167,0.3315158019346563,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,BoNG,10,2,0.4167046179069132,0.3269328748970922,0.9685763730758721,0.967618822045143,49,11,1.0798683983878027e-05,5.824209855178068
werk,distilled,"age,gender",question,BoNG,10,2,0.4170689498132799,0.3302647963821643,0.991893615083341,0.9918709578665998,293,18,4.7855985803744525e-05,12.102195099735859
werk,baseline,"age,gender",question,LDA,10,2,0.41825302850897167,0.3315158019346563,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,LDA,10,2,0.4163402860005465,0.26861508403409085,0.7773021222333546,0.6948862929889947,39,7,1.0678482649265608e-05,4.977320338828673
werk,distilled,"age,gender",question,LDA,10,2,0.40304217141816195,0.304131833161324,0.9175699061845342,0.8955305243062374,417,23,1.883472392336879e-05,9.32516622643228
werk,baseline,"age,gender",question,"BoW,BoNG,LDA",10,2,0.41825302850897167,0.3315158019346563,1.0,1.0,0,0,0.0,0.0
werk,soft,"age,gender",question,"BoW,BoNG,LDA",10,2,0.41624920302395485,0.2684463800640417,0.7773932052099463,0.6949424995456436,41,7,1.067848264928164e-05,5.221240550141179
werk,distilled,"age,gender",question,"BoW,BoNG,LDA",10,2,0.4031332543947536,0.30878868050670993,0.9299571910010019,0.9170060865240344,189,16,8.072849392921726e-05,8.165224519537299
