caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time
206321,1,1,1,2.9976859136863992e-06,0.0
206321,2,18,2,0.0004589467578464084,0.0
206321,3,24,24,0.0,0.0
206324,1,1,1,3.194444709353977e-06,0.0
206324,2,18,2,0.00036621527815306626,0.0
206324,3,24,24,0.0,0.0
206327,1,1,1,6.423611883763913e-06,0.0
206327,2,2,2,0.0004730902777777778,0.0
206327,3,3,3,7.789352977717364e-06,0.0
206327,4,3,3,0.14466479166514343,0.1331569982458044
206327,5,3,3,0.005982002315145952,0.0
206327,6,3,3,0.00013115740760608955,0.05100104437934028
206327,7,18,3,0.0033926388897277692,0.0
206327,8,3,3,4.2858797091024894e-05,0.0
206327,9,24,24,0.0,0.0
206330,1,1,1,2.442129232265331e-06,0.0
206330,2,18,2,0.000396412037037037,0.0
206330,3,24,24,0.0,0.0
206333,1,1,1,4.2245371474160085e-06,0.0
206333,2,2,2,0.0004392939805984497,0.0
206333,3,3,3,6.4004654133761374e-06,0.0
206333,4,3,3,0.7214590162011209,0.13316926179108796
206333,5,3,3,0.0019565277794996896,0.0
206333,6,3,3,0.08829999999867545,0.03671425148292824
206333,7,3,3,0.0001197453726221014,0.0
206333,8,3,3,0.007175243055378949,0.051951248734085645
206333,9,3,3,0.001695995369443187,0.0
206333,10,3,3,2.173962199072595,0.09813734266493056
206333,11,4,3,0.003906273149229862,0.0
206333,12,5,5,0.0024836226856267012,0.0032149283091227215
206333,13,6,6,0.0,0.0
206333,14,7,7,1.4351851962230824e-05,0.0
206333,15,8,8,3.472218910853068e-07,0.0
206333,16,9,9,1.3425918640913788e-06,0.0
206333,17,3,3,2.1041667571774235e-05,0.0
206333,18,9,9,0.0001912731484130577,0.0494132826063368
206333,19,5,9,0.0016545138894407836,0.0
206333,20,16,16,0.0,0.011218106305157696
206333,21,7,7,1.841435001956092e-05,0.0
206333,22,8,8,5.787031518088446e-07,0.0
206333,23,9,9,3.2986121045218573e-06,0.0
206333,24,9,9,2.435185291148998e-05,0.0
206333,25,9,9,0.005436388888844738,0.0
206333,26,9,9,8.432870385823427e-05,0.0
206333,27,9,9,7.0273020138867475,6.439734519675926
206333,28,9,9,0.001079537037897993,0.0
206333,29,9,9,0.01595332176045135,1.2425182653356481
206333,30,9,9,0.0010417708313023603,0.0
206333,31,9,9,3.949382870371143,1.0954939778645834
206333,32,9,9,8.079861049298887e-05,0.0
206333,33,9,9,0.10589379629879087,1.6686087601273147
206333,34,9,9,0.004322916666666667,0.0
206333,35,9,9,17.62907109953463,1.6424289279513888
206333,36,9,16,0.0004496296302036003,0.0
206333,37,9,9,1.9034204398150798,0.6133477105034723
206333,38,19,16,2.314922986207185e-08,0.0
206333,39,16,16,0.0,0.0
206333,40,24,24,0.0,0.0
206336,1,1,1,2.8888889484935338e-05,0.0
206336,2,20,2,0.0004954050922835315,0.0
206336,3,20,20,0.0010599884280452021,0.028852072821723092
206336,4,20,2,0.0033948032392395865,0.002362808828000669
206336,5,20,20,0.0004055208326489837,0.0
206336,6,20,18,0.0014921064812827994,0.0
206336,7,20,20,0.00010343750041944009,0.0
206336,8,2,20,0.0005497222228182687,0.0
206336,9,3,3,2.3379618370974506e-06,0.0
206336,10,20,20,1.4409723657148855e-05,0.0
206336,11,3,3,0.00012501157268329902,0.020238924379701966
206336,12,4,3,0.0047769328703482945,0.0
206336,13,5,5,0.002270104167638002,0.0
206336,14,6,6,0.0,0.0
206336,15,7,7,1.6273149737605343e-05,0.0
206336,16,8,8,4.6296252144707574e-07,0.0
206336,17,9,9,5.671296406675268e-06,0.0
206336,18,3,3,3.054398077505606e-05,0.0
206336,19,9,9,0.0001179861111773385,0.21788770887586806
206336,20,16,9,0.001166030091268045,0.0
206336,21,5,5,0.0,0.0
206336,22,7,7,2.2638889926451225e-05,0.0
206336,23,8,8,3.3564865589141844e-07,0.0
206336,24,9,9,3.032405619268064e-06,0.0
206336,25,9,9,1.7523150201197025e-05,0.0
206336,26,9,9,0.0006113888875201896,0.07579220241970486
206336,27,9,9,0.004265659721913161,0.0
206336,28,9,9,0.010008206019798915,6.645883246527778
206336,29,9,9,0.0001001736107799742,0.0
206336,30,9,9,7.848057997684788,4.006027199074074
206336,31,9,9,0.0011111111111111111,0.0
206336,32,9,9,5.128125474538516,2.0194059244791664
206336,33,9,9,0.0024459490731910424,0.0
206336,34,9,9,1.8259660879632942,1.4971487087673612
206336,35,16,9,0.00375929398117242,0.0
206336,36,19,19,0.0,0.0
206336,37,9,9,3.895833260483212e-05,0.0
206336,38,24,24,0.0,0.0
206339,1,1,1,5.821759502092997e-06,0.0
206339,2,2,2,0.00043958333355409126,0.0
206339,3,3,3,3.4675926521972374e-05,0.00017733728444134747
206339,4,3,3,0.0009403472200587943,0.150401690447772
206339,5,4,3,0.008268437501457003,0.0
206339,6,5,5,0.005743819444819733,0.0
206339,7,6,6,0.0,0.0
206339,8,7,7,1.5381944400292856e-05,0.0
206339,9,8,8,3.472218910853068e-07,0.0
206339,10,9,9,2.8356468236004864e-06,0.0
206339,11,3,3,1.4432870127536633e-05,0.0
206339,12,9,9,0.00023756944470935398,0.21438114872685185
206339,13,9,9,0.0011080324097915931,0.0
206339,14,9,9,7.857097997684722,6.827923900462963
206339,15,9,9,0.0020034606478832387,0.0
206339,16,9,9,2.802246539349909,2.003644748263889
206339,17,10,10,0.00045893518737068884,0.0
206339,18,11,11,1.5972223546769885e-06,0.0
206339,19,9,9,1.4224535337200872e-05,0.0
206339,20,11,11,0.9995545370380083,2.593259367766204
206339,21,11,11,0.02107037037059113,0.0036869656598126446
206339,22,11,11,0.0006346874987637555,0.005513811111450195
206339,23,14,11,0.0011341898143291474,0.006647926613136574
206339,24,15,13,1.1575994668183504e-08,0.0
206339,25,13,13,0.0,0.0
206339,26,12,12,0.0,0.0
206339,27,11,11,7.342592433646873e-05,0.0
206339,28,24,24,0.0,0.0
206342,1,1,1,8.194443804246408e-06,0.0
206342,2,2,2,0.000335254630556813,0.0
206342,3,3,3,8.981481746391013e-06,0.00018040245329892194
206342,4,3,3,0.6834714699067451,0.15039248996310764
206342,5,3,3,0.002778090277203807,0.00013135961912296438
206342,6,3,3,1.9152776388879176,0.03708207307038484
206342,7,3,3,0.0007762500009051076,0.0033191440723560474
206342,8,3,3,0.9930035648163822,0.06450621428313079
206342,9,3,3,0.001731273145587356,0.0
206342,10,3,3,0.26346582175956834,0.12055911593967014
206342,11,4,3,0.004055324075398622,0.0
206342,12,5,5,0.007017106480068631,0.0
206342,13,6,6,1.1575994668183504e-08,0.0
206342,14,7,7,2.3356480179009613e-05,0.0
206342,15,8,8,5.902791464770281e-07,0.0
206342,16,9,9,1.1111106033678409e-06,0.0
206342,17,3,3,2.0266202864823517e-05,0.0
206342,18,9,9,0.0007760416661147718,0.0752128827130353
206342,19,9,9,0.0036156828701496124,0.0
206342,20,9,9,0.0005379745391783891,6.551150896990741
206342,21,9,9,0.00018149305548932818,0.0
206342,22,9,9,7.892870671296561,2.5716436993634257
206342,23,9,9,0.0033520833320087855,0.0
206342,24,9,9,0.100836608796208,1.0586413122106482
206342,25,9,9,0.00010097222195731269,0.0
206342,26,9,9,0.08265020833247237,1.0531791630497684
206342,27,10,9,0.00010869213000491814,0.0
206342,28,11,11,2.581019092489172e-06,0.0
206342,29,9,9,1.2881946232583787e-05,0.0014769725446347837
206342,30,11,11,0.6186590393494676,2.4781986038773147
206342,31,11,11,0.0006231134274491557,0.002752086321512858
206342,32,11,11,0.10648135416485645,0.006408843287715206
206342,33,11,22,0.02840297453933292,0.006194280695032191
206342,34,11,11,0.000667719907230801,0.0060287609806767214
206342,35,21,11,0.010356354167064031,0.0063659307691786024
206342,36,18,18,0.0,0.0
206342,37,11,11,5.216435149863914e-05,0.0
206342,38,24,24,0.0,0.0
206345,1,1,1,6.550925749319571e-06,0.0
206345,2,2,2,0.0004260763884694488,0.0
206345,3,3,3,6.898147640404878e-06,0.00018346763319439358
206345,4,3,3,0.6855537037027103,0.15049057571976274
206345,5,18,3,0.0037081481488766494,0.00013135961912296438
206345,6,3,3,4.998842599215331e-05,0.0
206345,7,24,24,0.0,0.0
206348,1,1,1,4.1666654524979765e-06,0.0
206348,2,2,2,0.0005304629631616452,0.0
206348,3,3,3,7.650463117493524e-06,0.0006309835557584409
206348,4,3,3,0.04295234953639684,0.1702824232313368
206348,5,3,3,0.004105127315830301,0.0
206348,6,3,3,0.6145487615742066,0.04682627360026042
206348,7,3,3,6.537037039244617e-05,0.0017957510771574798
206348,8,3,3,0.007739363425859698,0.05598195959020544
206348,9,3,3,0.001250138889860224,6.699089098859716e-05
206348,10,3,3,0.0002140046297400086,0.09600704616970486
206348,11,3,3,0.00032075231273969015,1.7948051293691e-05
206348,12,3,3,0.23818212963088795,0.14131649441189237
206348,13,4,3,0.0020346180542751596,0.0
206348,14,6,5,0.0008635185189821102,0.0
206348,15,5,5,0.0,0.0
206348,16,7,7,1.769675976700253e-05,0.0
206348,17,8,8,3.9351759133515536e-07,0.0
206348,18,9,9,2.7199089527130127e-06,0.0
206348,19,3,3,2.681712861414309e-05,0.0
206348,20,9,9,6.944989189814638,0.3111212158203125
